"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2022-04-02","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-03","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-04","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-05","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-06","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-07","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-08","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-09","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-10","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-11","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-12","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-13","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-14","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-15","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-16","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-17","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-18","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-19","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-20","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-21","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-22","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-23","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-01","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-24","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-25","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-26","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-27","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-28","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-29","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-04-30","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-08","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-23","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-02","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-03","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-04","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-05","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-06","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-07","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-09","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-10","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-11","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-12","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-13","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-14","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-15","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-16","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-17","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-18","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-19","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-20","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-21","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-22","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-24","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-01","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-25","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-26","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-27","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-28","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-29","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-04-30","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-02","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-03","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-04","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-05","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-06","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-07","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-08","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-09","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-10","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-11","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-12","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-13","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-14","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-15","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-16","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-17","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-18","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-19","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-20","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-21","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-22","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-23","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-01","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-24","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-25","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-26","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-27","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-28","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-29","2022","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-04-30","2022","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-07","2022","04","0.237530638","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-22","2022","04","0.533712801","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-01","2022","04","0.288423588","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-02","2022","04","0.281539494","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-03","2022","04","0.284789858","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-04","2022","04","0.284849837","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-05","2022","04","0.260172192","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-06","2022","04","0.257022168","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-08","2022","04","0.240054605","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-04-09","2022","04","0.221185183","NRSC VIC MODEL"
